id,desc,createTime
7310315279245052928,Nope! I know that cough anywhere! #cough #bronchitis #fyp #medical #medicalhumor #pulmonary #t#trending,08-12-2023
6915102403939322880,Thoughts from the ER #vape #vaping #smoke #health #healthy #tips #data #cigarette #asian #emergency #nicotine #pack #cough #headache #relief #teeth,07-01-2021
6857436566776728576,farting out of 10 😂#fart #farting #funny #skill #uk #fyp #foryou #foryoupage #cough #smells,05-08-2020
7111749294578813952,🤣your @ first is looking for a sugar daddy #duetwithfahima #tiktoksouthafrica #trending #comedy #funny #jokes #foryoupage #sugardaddy #cough #funny,21-06-2022
7083201007664057344,#cough #sneeze #fart #adorable #baby #bodyfunction #ha #fy #fyp,05-04-2022
7158815466734078976,Replying to @C j the most requested song on my page #cough by @greatvado ,26-10-2022
7007465365391428608,#uber #mask #cough #brat,13-09-2021
6983699122847009792,WHERE IS SHE LEARNING ALL THIS FROM?! #sickness #healthtips #cough #plottwistitsnotajoke #plottwist,11-07-2021
7137427581694970880,#school #fyp #sick #cough #minecraft ,29-08-2022
7159598695065996288,#heavenaimersfoundation #foryoupage #cough #coughchallenge ,28-10-2022
7155485520179645440,kizzdaniel - Cough #kizzdaniel #cough #music #afrobeats #goodvives #liveperformance #trending #viral #fypシ #xybca #foryou #tiktoknigeria #tiktokafrica,17-10-2022
7157010858969697280,Mad version 😫😫😫#commissionerdjwysei #cough #fyp #drummer #queen #dj #rush #performer #funnyvideos #remember #idontcare ,21-10-2022
7287633807128202240,it’s not worth it just cough you guys #americanhighshorts #cough #coughing #class #schoolproblems ,08-10-2023
7164093241409735680,GIRL POWER🤣 @Matifa @Mati_fa.officiel INSTA & YOUTUBE : Babymatima  FB : Matifa Officiel  #kizdaniel #matifa #babymatifa #mati_fa #drole #comedie #rire #usa #afrique #trend #cough #tendencia #tendance #mati_famiily #chicken #poulet  ,09-11-2022
7116602366882761728,Fija hay algun@s hahaha🤣 #Esposa #Millonaria #Billionaire #Cough #Sick #Smile #ForYou #fyp #Viral #xyzbca,04-07-2022
7114377782351727616,Bros chest is most definitely hurting #ITriedItIPrimedIt #ashleykeno17 #cough,28-06-2022
7030325968761801728,Don’t forget to drink it from bed time apparently it works! Try it #cough #coldweather #flu  #coldseason #sick #ill #notyum #ohwell #foryoupage #viral,14-11-2021
7168020279229254656,"It is her vibe🤩 for me😁, What about you? #atifthegr3at #cough #trending #fyp #zanzibar ",20-11-2022
7268481764098575360,"If you want to get rid of mucus, coughing, sinus issues etc.. mullein along with other herbs will help clear out and ease any inflammation in your respiratory tract! Our breathe is available on tikton shop now! #mullein #mulleinleaf #mucus #asthma #cough #sinusrelief #lunghealth #coldandfluseason #coldandfluremedies #mucusrelief #fyp ",18-08-2023
6980454142523362304,Srsly tho if you got #phlegm try this- loosens the goo right up. #cough #healthhack #gross #sry,02-07-2021
7295155551913266176,Thoughts from the ER #vape #vaping #smoke #health #healthy #tips #data #cigarette #asian #emergency #icotine #pack #cough #headache #relief #teeth,28-10-2023
7157250629356801024,"Please Take Some Seconds of your Time to Follow me on Ig Please 😭😭😭link on my Profile, @energydiva__ #fyp #viral #trending #energydiva #marysmart #xybca #xybzca #xybcafyp #xybcza #odoyewu #cough",22-10-2022
7155891780821470208,Cough ❤️#cough #sharoncmons1 #sharoncmons02 ,18-10-2022
7096572137070283776,Jeez @E4ma saved me 🥰 #fypシ #foryoupage #trend #viralvideo #teamsam🔥 #legwork #afrodance #afrobeats #dancechallenge #cough #coughing,11-05-2022
7138874246176033792,His reaction 🤣😂 #fypシ #foryoupage #trend #viralvideo #teamsam🔥 #prank #afrodance #afrobeats #dancechallenge #cough #coughing,02-09-2022
7173806025110195200,There’s a ton of viruses going around right now. These are the top 5 most common I’m seeing in the ER right now #virus #kids #parents #sick #ER #cough #Top5 ,05-12-2022
7300830382201506816,Invisible Killers: The 8 Deadliest Pathogens (diseases) 🦠💀 #science  #disease  #virus  #death  #victim  #pandemic  #bacteria  #biology  #health  #killer  #contagion #gta #edit #gastroenteritis #typhoid #influenza  #flu #malaria #dengue #aids #hiv #hepatitis #tuberculosis ,13-11-2023
7128256599247916032,Replying to @amalia.t.gustian video mengandung bawang #fyp #tuberculosis #fyp #tbc #keluargacihuy,05-08-2022
7275140417790692352,Replying to @A🪩🏹🧚‍♀️ I appreciate @John Green also tagging in on battle against misinformation 😅 #rawmilk #milk #tuberculosis #tb #pasteurization #misinformation ,05-09-2023
7259471751984401408,#stitch with @Barstool Sports everything is about #tuberculosis. Even the barbenheimer map. ,24-07-2023
7255017410808351744,"#greenscreen dont be shy, johnson & johnson. You can @ me in your ridiculous statement about denying tuberculosis patients access to life-saving medication by evergreening your 20-year-old patent and keeping the price of bedaquiline artificially high. #patientsnotpatents #tuberculosis #jnj #johnsonandjohnson ",12-07-2023
7135336084799556608,#shitposting #donpollo #pollo #tuberculosis #funnymemes #viral  si quieres ser un pollo no dudes en serlo🍗🍗🍗🐔🐓,24-08-2022
7083292352307088384,"pasien ini diagnosa TB Paru+HIV,makan OAT 2 mgg baru dpt obat ARV#HIV#tuberculosis#doctor#dokterparu#foryou#fyp",06-04-2022
7080721185134234624,"Penny Licks! Mmmmmm, tuberculosis. #icecream #pennylicks #tuberculosis",30-03-2022
7284429845671463936,this game is so beautiful || #reddeadredemption2 #fyp #fypage #rdr #arthurmorgan #tuberculosis #beautyofrdr2 #scenery ,30-09-2023
7246141752204086272,Respuesta a @oscarflores4773   😘#amor #respondiendocomentarios #live #stream #match #hater #haters #peruana #transgender #historytime #enfermedad #biopolimero #tuberculosisdelapiel #tuberculosis #maquillaje #cabelloslargo ,18-06-2023
7243533519471807488,Even while ill he could take all of those miners on #sxrdo #rdr2 #gaming #reddeadtok #reddeadredemption2 #arthurmorgan #edit #viral #cold #sad #reddeadedit #reddeadvid #tuberculosis ,11-06-2023
7150583785564703744,#fyp #fy #foryou #fu #foruoupage #viral #edit #sigma #slaygirls #rdr2 #arthurmorgan #tuberculosis #videogame ,04-10-2022
7129943640473914368,"Este es uno de los medicamentos que tomo a diario, para la tuberculosis resistentes de la piel, pero este necesita por la vena y la mejor opcion es la PICC-line que llega direcro al corazón 😊IG: @kendra.graichen✌️#kendragraichen #piccline #medicamentos #salud #amor #enfermedad #tuberculosis",09-08-2022
7214559784358382592,"AI Generated Art ~ Asking the AI to show me mental illness, mental conditions, phobias, illnesses, etc #aigeneratedart #midjourney #cancer #agoraphobia #psychosis #tuberculosis #asthma #bodydysmorphicdisorder #bodydysphormia #diabetes #stroke ",25-03-2023
7121920512422382592,"Caso megaperro, nada es lo que parece….#medicina #mip #estudiante #estudiantedemedicina #internadomedicina #linfoma #tuberculosis #vih",19-07-2022
7206253113781521408,"pasien badan semua kuning,mata kuning setelah minum OAT,jadi OAT stop konsul spesialis penyakit dalam untuk perawatan ikterus,setelah badan kembali normal, OAT diberikan dari dosis rendah dulu#druginducedliverinjury#dili#sakitkuning#badankuning#ikterus#ikterik#icterus#hepatitis#tbparu#tuberculosis#coass#coasslife#dokterviral#spesialisparu#dokterparu#foryourpage#foryou#fypシ#fyp ",03-03-2023
7286671241212070912,parece chiste pero es anecdota #CapCut #medstudent #hospital #risa #humor #medicina #enfermeria #tuberculosis #fyp #fypシ ,06-10-2023
7123644683439361024,Responder a @judith moreno medina el PICC line de mi brazo lo hare junto con mi esposo proximo video😊#kendragraichen #tuberculosis #tbc #bacterias #enferma #salud #tratamiento,23-07-2022
7249919558394383360,thought blud was j a sorta ugly masc 🙁 #bamarush #tuberculosis #plagues #wlw #nyc ,29-06-2023
7260236482638515200,Replying to @secretsmashfizzle #greenscreen meet Eliza. #tuberculosis ,26-07-2023
7224952767645944832,If this gets under 1000 views im actually taking a break so pretty please repost it 😭-this was in 4k 60fps before tiktok ruined it btw-💀#arthurmorgan #tb #rdr #rdr2 #reddeadredemption #reddeadredemption2 #fyp #edit #arthurmorganedit #reddeadredemptionedit #tuberculosis #sister #nun #viral #trending #trend #viralvideo ,22-04-2023
7155623935013374976,Respuesta a @nil the best hobinista IG: @kendra.graichen🤍#kendragraichen #pocahontasperuana #tuberculosis #biopolimeros #aceitedeavion #metacrilato #dilenoalosbiopolimeros #trans #lgtb #lgtbi #gay #lesbiana #peru #mexico #españa ,17-10-2022
7229901378183793664,"MNEMOTECNIA tuberculosis, tuberculosis pulmonar, tuberculosis tratamiento #mnemotecnia #tuberculosis #tb #mnemotecniamedicina #aprendermedicina  #estudiantedemedicina #medstudent #medicina #enfermeria #ENARM2023 #NoTeOlvides ",06-05-2023
7267335220016385024,#stitch with @Dr. Sable | Orthodontist ill do it for way less than a million. #tuberculosis ,15-08-2023
7225998606975650816,Bro got that tuberculosis rizz #arthurmorgan #rdr #rdr2 #saverdronline #tuberculosis #tb #c ,25-04-2023
7122202045809052672,"Responder a @She’s Lex 🧿  el estado de depresión no es juego, busca ayuda🫶IG: @kendra.graichen✌️#kendragraichen #depresion #depresivo #depresionyansiedad🥀🖤 #ansiedad #enferma #salud #biopolimeros #tbc #tuberculosis #CloseUpAuge",19-07-2022
6850639874341506048,anyone remember this or was it just me??..#fyp#foryou#viral#tb#xyzbca,18-07-2020
6987829890510818304,Highschool- 2004 #2004 #2000s #throwback #throwbacks #nostalgia #nostalgic #highschool #school #tb #2000sthrowbacks #fyp #fu #fy #4u #viral,22-07-2021
6914992996379347968,"#tb to the moment #liluzivert paid for student’s 90,000$ tuition 💸 What are your thoughts on Lil Uzi Vert? #hiphop #rap #fyp #foruou #college",07-01-2021
6890509151814863872,🥰 #tb,02-11-2020
6995373410347928576,Ngl this was emotional to make #fypシ #SHEINcares #emo #scenekid #tb #fypsounds,12-08-2021
6981239205175331840,5 years ago today😭😭😭 MAN times have changed!!! Lowley hit that tho🤣🤣 #throwback #tb,05-07-2021
6871338113608797184,a favorite throwback #fyp #xyzcba #tb,11-09-2020
7077246231080143872,Un #tb con @Abelardo ❤️❤️❤️,20-03-2022
6993762241141050368,i can’t stand girls like that 😂😂 like why tf you care? #tb #TeamofTomorrow #foryou,07-08-2021
6952142936620452864,parents bed just hits different. #tb,17-04-2021
6909353861648059392,wise words from my mom that i think everyone should hear #tb #mexicantiktok #consejos #spanish #ex #mexicanmom #fyp,23-12-2020
6900275032191290368,Young James is everything #fy #fyp #foryou #fürdich #foryoupage #jamescharles #sisters #tb #quarantine @jamescharles,28-11-2020
6869339550796319744,I loved this show growing up ❤️ I owned 2 Sportacus suits + a pink Stephanie wig #fyp #foryoupage #lazytown #childhood #memories #tb,06-09-2020
7044985449533705216,Happy anniversary :)) #GEICOGiveHappy#FFXmasSwitch#WhenRiftanSays#duet#fyfyfy#debateteam#debate#4u#tb#anniversary#debatetok,23-12-2021
6929208268460002304,Well I guess since it’s Valentine’s Day I’ll just drop this here💕🥺 #fyp #valentines #givememybffback #drinkupsis #tb,14-02-2021
7104043393692732416,#tb to when we immediately regretted pranking baby Diego 🥺 #puppyeyes #bulldog,31-05-2022
7279805752955390976,#tb pre worlds with feis the app @info ,17-09-2023
6904832367987395584,You are so.... #tb,11-12-2020
7070183593686993920,⚽️✍️ @Ronaldo Lima 🆚 Alavés‼️ #TB #LaLiga #Goal #Legend #FYP #ForYouPage #Football,01-03-2022
6983376110708902912,Highschool - 2005 #2005 #2000s #2000sthrowback #throwback #nostalgia #nostalgic #tb #highschool #school #fyp #fy #4u #foru #foryou #fypage #fup #viral,10-07-2021
7056403209555921920,PAHAHAA WAIT FOR IT!!! Just found this in my drafts 😅😂 #ifyouknowyouknow #draft #tb,23-01-2022
7021945079698902016,Seal pup gets a massage #asmr #tb #fyp #dogg,22-10-2021
6974531624167885824,TB had to🤣🤣 #tb#fyp#again#funnycatmoments#xyzbca,16-06-2021
6976292175608925184,Brother VS Sister... This game is lit! 🤣🔥 #tb #battle,21-06-2021
7113714387910921216,I'm still not sure if he's a mare or not 😂 #usef  #rbf #fypシ #horsesoftiktok #ottb #bay #tb,27-06-2022
7033387611678837760,#behindthescenes #filmproduction #dasrund #tb #weddingrig #tiktok #bride #foryou #foryoupage #filmmaker #filmcrew,22-11-2021
7183800707378662400,1 Liter of mucus per day #mucus #phlegm #snot #infection #culture #sensitivity #hemoptysis #cysticfibrosis #heartfailure #frothy #inflammation #viral #bacterial #flu #commoncold #rsv #rhinovirus #adenovirus #runnynose #tb #copd #asthma ,01-01-2023
7187200035216460800,Not so happy birthday pero grateful pa rin ako at na survive kona naman ang isang taon🙏 #birthday #cancer #NHL #cancerfighter #lymphoma #cancerwarrior #hemoptysis #fyp ,11-01-2023
7165555161048304640,"Chrissy Teigen, Coughing up Blood? #chrissyteigen #chrissyteigan #chrissyteigenofficial #johnlegend #hemoptysis #fyp #fypシ #pregnancy ",13-11-2022
7281661100821597184,jawan #cough #hemoptysis #baglungmuser #syngjalimuser #gorkhalimuser #tanahunmuser #nepalitiktok #fypviral #fypviralシ #drnabinrajgautam #trending #fypシ @Dr. Nabin Raj Gautam @Krishu 🥰🥰 @चरक मेमोरियल अस्पताल @🕉RAJA🕉 @charak hospital  ENT Center @charak hospital  ENT Center @charak hospital  ENT Center ,22-09-2023
7147051533148965888,#fyp #fashion #iayze #az #glogang #hemoptysis ,24-09-2022
7113892062059056128,Reply to @minapandey68 #wheezing #hemoptysis #sob #lungs #question #answer #drachyut #achyutbhaktaacharya #kathmandu #nepal #tiktok #viral #norvicinternationalhospital,27-06-2022
7225095724860476416,Replying to @itsmemamata39 #hemoptysis #causes #drkrishnakoirala #shreekrishnaentcare #pokhara #fyp #foryou #foryoupage #,23-04-2023
7183383530842475520,Chronic cough as a symptom of lung cancer #chroniccough #lungcancerawareness #hemoptysis #suddenweightloss #seeyourdoctor ,31-12-2022
6818044464926444544,it’s 2am and i’m way too afraid to sleep #fyp #medicallife #lungdisease #cysticfibrosis #hemoptysis #boredathome,21-04-2020
7195052366444448768,#cough #heart #tb #heparin #hemoptysis #nurse #drtess90210 ,01-02-2023
7128034517880769536,So I’m on strict oreders to take it easy & for once I’m doing as I’m told 😂  #bleedinglungs #hemoptysis #kidneyfailure #dialysis #ckd #cysticfibrosis #chronickidneydisease #lifeonthetransplantlist #dublin #hospital #postcovid #summer #awareness,04-08-2022
7127980198133386240,"I know #interns have to learn but all they do is write notes, literally had to tell him to call a consultant when he wouldnt do anything, this is the 2nd time this happened this admission #kidneyfailure #dialysis #ckd #cysticfibrosis #chronickidneydisease #hemoptysis #lifeonthetransplantlist #dublin #hospital #postcovid #summer #awareness",04-08-2022
7123878762793520128,"This is why I cant abide #interns they do nothing, just let me keep bleeding & leave, sorry but waste of time 🙄  #hemoptysis #bleeding #universityhospital #kidneyfailure #dialysis #ckd #cysticfibrosis #chronickidneydisease #lifeonthetransplantlist #dublin #hospital #postcovid #summer #awareness",24-07-2022
7127724504750492672,Welcome to the rollercoaster that is my lite!!!!  #hemoptysis #bleeding #kidneyfailure #dialysis #ckd #cysticfibrosis #chronickidneydisease #lifeonthetransplantlist #dublin #hospital #postcovid #summer #awareness,03-08-2022
7266507595861527552,bronchoscopy #baglungmuser #cough #hemoptysis #fyp #foryoupage #drnabinrajgautam #trending #syngjalimuser #tanahunmuser #nepalitiktok ,12-08-2023
7158465958749735936,Causes for Coughing Blood #medzcool #medstudent #nurse #paramedic #pulmonary #hemoptysis #blood #cough #medschool #medical #respiratorytherapist,01-11-2022
7123983853546523648,,24-07-2022
7127922430999284736,Only me 😂 #hemoptysis #kidneyfailure #dialysis #ckd #cysticfibrosis #chronickidneydisease #lifeonthetransplantlist #dublin #hospital #postcovid #summer #awareness,04-08-2022
7266673349093313536,#ayisyenmwenye #ayitimwensorti#jesika #alafanmyobel#haiti#canada #fanmkreyol #infirmiere #quebecsante#medecine #humourtiktok #lakayselakay #hemoptysis #xerostomia #nurselife#bbqtime ,13-08-2023
7262526173798845440,CF doesnt like to go according to plan. ICU after a scary hemoptysis (coughing up blood) incident. Thankfully Stanford has an incredible CF center and I was surrounded by some of the best CF docs in the country when it happened. Very grateful for the quick and competent care I received. Now to figure out next steps on how long the stay will be and getting home without flying. 💜🤟🏾 #cysticfibrosis #curecf #hemoptysis #icu #hospital #stanford #chronicillness #bipochavecftoo ,02-08-2023
